End_Station Id,End_Station_Name,End_Latitude,End_Longitude
,,40.75516719,-74.00059909
,W 34 St &\tHudson Blvd E,40.75516719,-74.00059909
,,40.75516719,-74.00059909
6551.02,W 44 St & 5 Ave,40.75500254,-73.98014437
6560.01,Broadway & W 41 St,40.75513557,-73.98658032
6560.14,W 40 St & 7 Ave,40.754818,-73.988154
6575.03,E 51 St & 2 Ave,40.755293,-73.967641
6578.01,W 34 St & 11 Ave,40.75594159,-74.0021163
,,40.755942,-74.002116
6584.12,E 47 St & Park Ave,40.75510267,-73.97498696
6593.15,6 Ave & W 45 St,40.756951,-73.982631
6602.03,W 41 St & 8 Ave,40.75640548,-73.9900262
6602.05,W 42 St & 8 Ave,40.7575699,-73.99098507
6611.02,W 37 St & 10 Ave,40.75660359,-73.9979009
6626.11,W 48 St &  Rockefeller Plaza,40.75776935,-73.9792943
6644.07,W 42 St & Dyer Ave,40.75898481,-73.99379969
6659.1,E 50 St & Park Ave,40.757334,-73.974235
6659.09,Madison Av & E 51 St,40.75863,-73.97513
6659.1,E 50 St & Park Ave,40.757334,-73.974235
6667.04,W 47 St & 6 Ave,40.758397,-73.98255
6676.02,W 45 St & 8 Ave,40.75929124,-73.98859651
6708.04,Broadway & W 48 St,40.7601774,-73.98486793
,Broadway\t& W 48 St,40.7601774,-73.98486793
,,40.7601774,-73.98486793
6711.13,Steinway St & Broadway,40.75905795,-73.91897544
6726.01,11 Ave & W 41 St,40.76030096,-73.99884222
6740.1,W 51 St & 6 Ave,40.7606597,-73.98042047
6740.01,W 52 St & 6 Ave,40.76132983,-73.97982001
6747.07,8 Ave & W 49 St,40.76171228,-73.98655102
6753.08,1 Ave & E 62 St,40.7612274,-73.96094022
6756.05,W 44 St & 11 Ave,40.762009,-73.996975
6762.02,E 58 St & 3 Ave,40.76095756,-73.96724467
6765.01,12 Ave & W 40 St,40.760875,-74.002777
,,40.76087502,-74.00277668
6779.04,Broadway & W 51 St,40.76228826,-73.98336183
6779.05,Broadway & W 53 St,40.76344058,-73.98268129
6801.01,E 59 St & Madison Ave,40.76350532,-73.97109243
